date,turn,adjust_factor,instrument,open,volume,low,deal_number,close,high,amount
2021-04-28,0.3060112559730817,111.04871,000001.SZA,2586.3245,59383793.00000001,2529.6897,67966.0,2592.9875,2604.0923,1375141409.0
2021-04-29,0.3168322472553595,111.04871,000001.SZA,2591.877,61483688.0,2566.3357,67134.0,2619.6392,2632.965,1439823965.0
2021-04-30,0.2895951923559519,111.04871,000001.SZA,2592.9875,56198131.99999999,2555.231,62025.0,2586.3245,2608.5342,1308177202.0
2021-05-06,0.257807662487186,111.04871,000001.SZA,2565.2253,50029522.0,2565.2253,57887.0,2609.6448,2631.8545,1174181608.0
2021-05-07,0.4133898586800501,111.04871,000001.SZA,2628.523,80221421.0,2597.4294,81949.0,2670.7214,2698.4836,1929112374.0
2021-05-10,0.34084678379916483,111.04871,000001.SZA,2665.1692,66143890.0,2556.3413,57753.0,2649.6223,2669.611,1566860764.0
2021-05-11,0.2562247454179439,111.04871,000001.SZA,2622.9707,49722345.0,2560.7832,54324.0,2612.9763,2637.407,1161846399.0
2021-05-12,0.2747974889030951,111.04871,000001.SZA,2586.3245,53326526.0,2540.7944,56136.0,2615.1973,2625.1917,1245517716.0
2021-05-13,0.2832420149951423,111.04871,000001.SZA,2611.8657,54965250.0,2536.3525,60364.0,2561.8938,2619.6392,1271946298.0
2021-05-14,0.29052483412913016,111.92197,000001.SZA,2589.8743,56378536.0,2529.4365,60879.0,2610.0203,2622.3315,1300250943.0
2021-05-17,0.27185990149450245,111.92197,000001.SZA,2590.9934,52756465.0,2568.6091,59159.0,2641.3584,2665.9812,1241605192.0
2021-05-18,0.2037617143458165,111.92197,000001.SZA,2669.3389,39541498.0,2618.974,51509.0,2674.935,2698.4387,939786731.0
2021-05-19,0.22128504746012972,111.92197,000001.SZA,2665.9812,42942033.0,2632.4045,44339.0,2641.3584,2700.677,1022553739.0
2021-05-20,0.20910723699136155,111.92197,000001.SZA,2620.0933,40578837.0,2604.424,52876.0,2665.9812,2668.2197,957478853.0
2021-05-21,0.2779256744151917,111.92197,000001.SZA,2672.6965,53933574.0,2577.563,59230.0,2629.0469,2696.2002,1263058114.0
2021-05-24,0.1772338356867725,111.92197,000001.SZA,2627.9277,34393563.0,2595.4705,39208.0,2627.9277,2641.3584,806092207.0
2021-05-25,0.5010754007285254,111.92197,000001.SZA,2634.643,97237462.0,2624.57,84000.0,2753.2803,2767.8303,2363145902.0
2021-05-26,0.4737067972205188,111.92197,000001.SZA,2757.7573,91926378.0,2742.0881,83218.0,2799.1685,2811.4797,2286540248.0
2021-05-27,0.2597638554323717,111.92197,000001.SZA,2787.976,50409136.0,2744.3267,64825.0,2774.5457,2815.9565,1246712048.0
2021-05-28,0.2537395444399489,111.92197,000001.SZA,2762.2341,49240073.0,2704.0347,55246.0,2742.0881,2765.5918,1200523315.0
2021-05-31,0.2655659745999131,111.92197,000001.SZA,2723.0615,51535081.0,2676.0542,59874.0,2708.5115,2745.4458,1244209045.0
2021-06-01,0.32207867043005034,111.92197,000001.SZA,2708.5115,62501796.0,2630.1663,65665.0,2677.1733,2714.1077,1490476624.0
2021-06-02,0.2563811783978577,111.92197,000001.SZA,2673.8157,49752702.0,2616.7356,69240.0,2673.8157,2677.1733,1176608126.0
2021-06-03,0.20658864385637343,111.92197,000001.SZA,2654.789,40090085.0,2650.3123,51853.0,2660.385,2701.7961,958876472.0
2021-06-04,0.38995619622771716,111.92197,000001.SZA,2685.008,75673942.0,2663.7427,81233.0,2746.565,2793.5723,1851425837.0
2021-06-07,0.2308150917693191,111.92197,000001.SZA,2739.8496,44791410.0,2678.2927,53199.0,2719.7039,2739.8496,1081738832.0
2021-06-08,0.2937674599224775,111.92197,000001.SZA,2702.9155,57007792.00000001,2680.531,56054.0,2745.4458,2749.9226,1384120301.0
2021-06-09,0.23386439346363008,111.92197,000001.SZA,2734.2537,45383150.0,2706.2732,55078.0,2758.8765,2784.6184,1116771375.0
2021-06-10,0.2732257386246252,111.92197,000001.SZA,2759.9956,53021516.0,2702.9155,57765.0,2708.5115,2804.7644,1294972566.0
2021-06-11,0.4301121304380514,111.92197,000001.SZA,2720.823,83466504.0,2587.6357,86861.0,2615.6165,2725.2998,1965393115.0
2021-06-15,0.3404261302239319,111.92197,000001.SZA,2613.378,66062259.0,2551.8208,80705.0,2598.8281,2622.3315,1524503477.0
2021-06-16,0.19489478777402702,111.92197,000001.SZA,2598.8281,37820804.0,2575.3245,47817.0,2603.305,2618.974,878470834.0
2021-06-17,0.23358127641156812,111.92197,000001.SZA,2576.4436,45328209.0,2576.4436,52919.0,2585.3975,2651.4314,1059121804.0
2021-06-18,0.35767704929699723,111.92197,000001.SZA,2588.7551,69409930.0,2505.9329,67666.0,2535.0325,2605.5435,1574437729.0
2021-06-21,0.37013389040108424,111.92197,000001.SZA,2529.4365,71827274.0,2463.4026,107788.0,2480.1907,2537.271,1600119859.0
2021-06-22,0.3904776858720923,111.92197,000001.SZA,2504.8137,75775141.0,2490.2637,99611.0,2570.8477,2584.278,1720058046.0
2021-06-23,0.23081183500339014,111.92197,000001.SZA,2557.417,44790778.0,2542.8672,55873.0,2589.8743,2620.0933,1035835695.0
2021-06-24,0.20111740077037124,111.92197,000001.SZA,2577.563,39028349.0,2538.3901,45628.0,2583.159,2587.6357,894502108.0
2021-06-25,0.2885602570729216,111.92197,000001.SZA,2583.159,55997294.99999999,2580.9207,57775.0,2614.497,2641.3584,1310287389.0
2021-06-28,0.3227173521167617,111.92197,000001.SZA,2614.497,62625737.0,2516.0059,72260.0,2549.5823,2617.8547,1425702202.0
2021-06-29,0.5409474758388645,111.92197,000001.SZA,2527.198,104974938.99999999,2462.2832,129357.0,2500.3367,2550.7017,2341926371.0
2021-06-30,0.20789475643409633,111.92197,000001.SZA,2502.5752,40343546.0,2501.456,47085.0,2531.6748,2566.3706,913285187.0
2021-07-01,0.3425959556772142,111.92197,000001.SZA,2552.94,66483330.00000001,2520.4827,67049.0,2596.5896,2630.1663,1530548798.0
2021-07-02,0.5517319934039823,111.92197,000001.SZA,2542.8672,107067756.0,2435.4219,127773.0,2441.018,2545.1055,2360189793.0
2021-07-05,0.4428280750985849,111.92197,000001.SZA,2427.5874,85934129.0,2360.4343,86850.0,2468.9985,2479.0715,1859394323.0
2021-07-06,0.4081043388548798,111.92197,000001.SZA,2471.237,79195726.0,2445.4949,88299.0,2549.5823,2574.2053,1784792785.0
2021-07-07,0.24165248024967603,111.92197,000001.SZA,2538.3901,46894487.0,2518.2441,55637.0,2523.8403,2579.8013,1063910095.0
2021-07-08,0.7508388668305049,111.92197,000001.SZA,2549.5823,145705947.0,2372.7456,159128.0,2407.4414,2549.5823,3140657439.0
2021-07-09,0.3928549858662478,111.92197,000001.SZA,2383.938,76236474.0,2352.5996,79976.0,2380.5803,2420.872,1625461607.0
2021-07-12,0.4523921093256025,111.92197,000001.SZA,2406.3223,87790102.0,2338.0498,86626.0,2368.2688,2406.3223,1859059510.0
2021-07-13,0.33887574474220483,111.92197,000001.SZA,2367.1497,65761394.99999999,2298.8772,72539.0,2363.792,2388.4148,1382029130.0
2021-07-14,0.43695830074135783,111.92197,000001.SZA,2350.3613,84795055.0,2284.3274,96411.0,2323.5,2350.3613,1755810875.0
2021-07-15,0.4926389495608621,111.92197,000001.SZA,2319.0232,95600305.0,2308.9502,94174.0,2419.753,2430.945,2040266258.0
2021-07-16,0.29527458504032217,111.92197,000001.SZA,2396.2493,57300261.0,2383.938,63408.0,2388.4148,2442.1372,1230180813.0
2021-07-19,0.2690624323175149,111.92197,000001.SZA,2390.653,52213595.0,2325.7385,51679.0,2373.865,2398.4878,1098434741.0
2021-07-20,0.41432778665514886,111.92197,000001.SZA,2361.5535,80403433.0,2291.0427,81690.0,2305.5925,2372.7456,1665315545.0
2021-07-21,0.38806866332879336,111.92197,000001.SZA,2303.354,75307652.0,2260.8237,86355.0,2288.8042,2327.9768,1535327561.0
2021-07-22,0.44762397211562166,111.92197,000001.SZA,2288.8042,86864809.0,2265.3005,76968.0,2280.9697,2312.3079,1773999331.0
2021-07-23,0.37483949976647324,111.92197,000001.SZA,2280.9697,72740433.0,2238.4392,76204.0,2249.6316,2280.9697,1461467511.0
2021-07-26,0.7478729785382384,111.92197,000001.SZA,2233.9624,145130394.0,2062.722,143868.0,2104.133,2237.32,2770236696.0
2021-07-27,0.69956129855652,111.92197,000001.SZA,2111.9675,135755148.0,1969.8267,135237.0,1987.7341,2125.3982,2461708369.0
2021-07-28,0.5477726781349479,111.92197,000001.SZA,1997.8071,106299421.0,1978.7804,95377.0,1986.6149,2022.4299,1898562591.0
2021-07-29,0.4495460978463194,111.92197,000001.SZA,2004.5225,87237812.0,1989.9725,72963.0,2010.1185,2041.4567,1566107824.0
2021-07-30,0.4896258381626257,111.92197,000001.SZA,2005.6416,95015588.0,1929.5347,83867.0,1979.8995,2020.1915,1679747318.0
2021-08-02,0.5977209654457405,111.92197,000001.SZA,1974.3035,115992262.99999999,1922.8193,106318.0,2015.7146,2030.2644,2056014242.0
2021-08-03,0.4622075225962066,111.92197,000001.SZA,2013.4762,89694857.0,1976.5419,75660.0,2002.2839,2031.3837,1609422575.0
2021-08-04,0.37598130025810295,111.92197,000001.SZA,2019.0723,72962008.0,1969.8267,69207.0,1993.3302,2022.4299,1300164293.0
2021-08-05,0.32030389789830627,111.92197,000001.SZA,1981.0188,62157388.0,1967.5881,62354.0,1978.7804,2020.1915,1104903004.0
2021-08-06,0.2924153919040038,111.92197,000001.SZA,1964.2305,56745413.0,1953.0383,57055.0,1998.9263,2003.4032,1005870948.0
2021-08-09,0.9032362036003756,111.92197,000001.SZA,2004.5225,175279800.0,1996.6879,146526.0,2133.2327,2154.4978,3313803230.0
2021-08-10,0.6709290492556332,111.92197,000001.SZA,2136.5903,130198844.0,2115.3252,128954.0,2208.2205,2236.201,2535427989.0
2021-08-11,0.5402049383601717,111.92197,000001.SZA,2237.32,104830844.0,2204.8628,133396.0,2217.174,2303.354,2104975143.9999998
2021-08-12,0.3434331815640474,111.92197,000001.SZA,2214.9358,66645800.0,2197.028,88380.0,2226.128,2272.0159,1330388046.0
2021-08-13,0.2900608789651298,111.92197,000001.SZA,2213.8164,56288502.0,2182.4783,71050.0,2226.128,2229.4856,1110191399.0
2021-08-16,0.3231259164944165,111.92197,000001.SZA,2248.5122,62705022.0,2190.313,76258.0,2232.8433,2260.8237,1247681171.0
2021-08-17,0.24529937272639846,111.92197,000001.SZA,2221.6511,47602194.0,2194.7898,62546.0,2201.5051,2263.0623,947385521.0
2021-08-18,0.6867716283419585,111.92197,000001.SZA,2201.5051,133273215.99999999,2188.0745,133756.0,2307.831,2372.7456,2732213549.0
2021-08-19,0.33493962362419305,111.92197,000001.SZA,2292.1619,64997561.0,2240.6777,69387.0,2276.4927,2307.831,1315320351.0
2021-08-20,0.8320356377177136,111.92197,000001.SZA,2235.0815,161462793.0,2092.9407,140517.0,2173.5247,2246.274,3119152554.0
2021-08-23,0.6141731575216172,111.92197,000001.SZA,2182.4783,119184935.00000001,2138.8289,103758.0,2160.094,2244.0354,2315871646.0
2021-08-24,0.4477812502056816,111.92197,000001.SZA,2165.69,86895330.0,2150.021,96756.0,2166.8093,2235.0815,1690760837.0
2021-08-25,0.35973039383721256,111.92197,000001.SZA,2173.5247,69808397.0,2120.9211,75079.0,2144.4248,2179.1206,1341330418.0
2021-08-26,0.4903798000876232,111.92197,000001.SZA,2148.9019,95161900.0,2060.4834,97466.0,2066.0796,2155.617,1783725035.0
2021-08-27,0.3755691287029952,111.92197,000001.SZA,2077.2717,72882023.0,2049.2913,81455.0,2058.2449,2113.0867,1354408976.0
2021-08-30,0.6452781888038394,111.92197,000001.SZA,2038.099,125221101.0,1964.2305,131430.0,1983.2572,2047.0527,2221855858.0
2021-08-31,0.6054224078293664,111.92197,000001.SZA,1983.2572,117486786.00000001,1937.3693,119791.0,1992.2109,2006.7609,2072006842.0
2021-09-01,1.1939211603366429,111.92197,000001.SZA,1956.396,231689409.0,1903.7926,186076.0,2001.1648,2005.6416,4046284162.0
2021-09-02,1.24839440956598,111.92197,000001.SZA,2014.5953,242260354.0,1992.2109,202270.0,2059.3643,2101.8945,4454545280.0
2021-09-03,0.7187655145265873,111.92197,000001.SZA,2070.5564,139481871.0,1981.0188,129605.0,2019.0723,2070.5564,2523273155.0
2021-09-06,0.7808124965983834,111.92197,000001.SZA,2006.7609,151522556.0,1989.9725,146982.0,2064.9602,2081.7485,2780281080.0
2021-09-07,0.8360118964145556,111.92197,000001.SZA,2081.7485,162234416.0,2053.768,141868.0,2153.3787,2189.1936,3067365668.0
2021-09-08,0.5288127556813274,111.92197,000001.SZA,2153.3787,102620105.0,2137.7095,109216.0,2152.2595,2188.0745,1979771479.0
2021-09-09,0.38107554692227447,111.92197,000001.SZA,2138.8289,73950585.0,2104.133,85771.0,2126.5173,2143.3057,1399536020.0
2021-09-10,1.1929169169806264,111.92197,000001.SZA,2114.206,231494527.99999997,2108.6099,199201.0,2302.2349,2324.6191,4668361827.0
2021-09-13,0.6684759521569696,111.92197,000001.SZA,2278.7312,129722802.0,2217.174,127141.0,2261.9429,2295.5195,2606152378.0
2021-09-14,0.5968194390442528,111.92197,000001.SZA,2258.5852,115817314.99999999,2156.7363,111693.0,2167.9285,2268.6582,2272080156.0
2021-09-15,0.4336952789360693,111.92197,000001.SZA,2161.2131,84161841.0,2147.7825,88160.0,2184.7168,2349.2422,1639298361.0
2021-09-16,0.6064971921170306,111.92197,000001.SZA,2160.094,117695356.0,2096.2983,141002.0,2135.4712,2182.4783,2234474948.0
2021-09-17,0.5796629198051315,111.92197,000001.SZA,2115.3252,112487962.99999999,2060.4834,101392.0,2073.914,2126.5173,2098715196.0
2021-09-22,0.7592413950707784,111.92197,000001.SZA,2000.0455,147336521.0,1949.6807,147658.0,2012.3569,2020.1915,2616707242.0
2021-09-23,0.7110455776288492,111.92197,000001.SZA,2025.7876,137983759.0,1975.4227,271843.0,1978.7804,2050.4104,2465683704.0
2021-09-24,0.6522272976454321,111.92197,000001.SZA,1969.8267,126569628.0,1940.7269,115656.0,1941.8461,1978.7804,2209461934.0
2021-09-27,0.58779863028232,111.92197,000001.SZA,1926.177,114066759.00000001,1909.3888,101854.0,1966.469,1978.7804,1979196739.0
2021-09-28,0.6663835058131642,111.92197,000001.SZA,1955.2767,129316747.0,1953.0383,96340.0,2011.2377,2033.6221,2311265535.0
2021-09-29,0.6338953487145982,111.92197,000001.SZA,1998.9263,123012175.0,1982.1381,100306.0,2031.3837,2063.841,2225416488.0
2021-09-30,0.40998717727000406,111.92197,000001.SZA,2024.6683,79561105.0,1982.1381,70140.0,2006.7609,2036.9797,1424675916.0
2021-10-08,0.5973489057039099,111.92197,000001.SZA,2033.6221,115920062.00000001,2016.8339,108461.0,2086.2253,2114.206,2146983881.0
2021-10-11,0.7499519546508124,111.92197,000001.SZA,2126.5173,145533835.0,2126.5173,131231.0,2171.2861,2209.3396,2829310843.0
2021-10-12,0.5314053526383183,111.92197,000001.SZA,2160.094,103123218.0,2148.9019,95465.0,2165.69,2205.982,2004823967.0
2021-10-13,0.4163180983459289,111.92197,000001.SZA,2160.094,80789668.0,2145.5442,89792.0,2191.4321,2228.3665,1577612469.0
2021-10-14,0.4344020074488755,111.92197,000001.SZA,2192.5513,84298987.0,2114.206,91661.0,2150.021,2229.4856,1623970431.0
2021-10-15,0.511958337553892,111.92197,000001.SZA,2126.5173,99349378.0,2126.5173,102227.0,2200.3857,2227.247,1948647236.0
